club_name,year,trades_with_Arsenal,trades_with_Aston Villa,trades_with_Bournemouth,trades_with_Brentford,trades_with_Brighton,trades_with_Chelsea,trades_with_Crystal Palace,trades_with_Everton,trades_with_Fulham,trades_with_Ipswich Town,trades_with_Leicester City,trades_with_Liverpool,trades_with_Manchester City,trades_with_Manchester United,trades_with_Newcastle United,trades_with_Nottingham Forest,trades_with_Southampton,trades_with_Tottenham,trades_with_West Ham,trades_with_Wolverhampton
Arsenal,1992,/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aston Villa,1992,0,/,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
Bournemouth,1992,0,0,/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brentford,1992,0,0,0,/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brighton,1992,0,0,0,0,/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chelsea,1992,0,0,0,0,0,/,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Crystal Palace,1992,0,0,0,0,0,0,/,0,0,0,0,0,0,0,0,0,0,0,0,0
Everton,1992,0,0,0,0,0,0,0,/,0,0,0,0,0,0,0,0,0,0,0,0
Fulham,1992,0,0,0,0,0,0,0,0,/,0,0,0,0,0,0,0,0,0,0,0
Ipswich Town,1992,0,0,0,0,0,0,0,0,0,/,1,0,0,0,0,0,0,0,0,0
Leicester City,1992,0,0,0,0,0,0,0,0,0,1,/,0,0,0,0,0,0,0,0,0
Liverpool,1992,0,1,0,0,0,0,0,0,0,0,0,/,0,0,1,0,0,0,0,0
Manchester City,1992,0,0,0,0,0,0,0,0,0,0,0,0,/,0,1,0,0,0,0,0
Manchester United,1992,0,1,0,0,0,0,0,0,0,0,0,0,0,/,0,1,0,0,0,0
Newcastle United,1992,0,0,0,0,0,0,0,0,0,0,0,1,1,0,/,0,0,0,0,0
Nottingham Forest,1992,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,/,0,0,0,0
Southampton,1992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,0,0,0
Tottenham,1992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,0,0
West Ham,1992,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,0
Wolverhampton,1992,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,/
Arsenal,1993,/,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Aston Villa,1993,0,/,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Bournemouth,1993,0,0,/,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Brentford,1993,0,0,0,/,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
